(83.9536298895511, 2.340971422227433)
(92.70358548444581, 4.6450589762836785)
(84.9314705699012, 2.071227269732192)
(85.41694024639088, 1.3233025453685774)
(82.79166124065273, 2.3634157754815237)
(81.91713158115448, 0.6178326620700249)
(78.27365344876071, 2.825648893556739)
(87.90836658166698, 4.981176835809543)
(87.22904518595364, 0.8373759360018601)
(77.17085663910507, 0.9728436120918778)
(89.51146737562391, 2.2127412951372922)
(89.67337415094507, 2.0407682170206507)
(83.9248892852426, 3.370328221234229)
(87.45128373024451, 1.7838579469467826)
(79.34581674795702, 2.428449297181864)
(74.48687538188528, 2.532903780591162)
(97.70159356589336, 0.8199016271020491)
(84.97841682879377, 2.6661351186099855)
(73.52406055714945, 10.595167851325971)
(81.86798084017039, 3.6969392944729464)
(86.23095230942681, 3.360274726967182)
(96.93163369926955, 0.5088270213980703)
(81.3625384394419, 3.0577941777272577)
(93.66563555803496, 1.175821732393111)
(86.22643485034816, 1.999229392050358)
(80.02013574053244, 2.755330971466431)
(82.68089381030867, 2.0831816548414586)
(96.53052275322472, 1.6934663068381508)
(82.31170019138179, 3.08286382985105)
(96.74727890371057, 0.521313108692052)
(95.74625177420916, 0.1830057235784047)
(82.22769608363859, 3.948099804183985)
(97.91783062966107, 0.5102837583408905)
(86.93444575332668, 1.240278062638175)
(88.80454897598248, 5.96986014454419)
(75.46780693820968, 2.866297230792045)
(77.4064401666802, 3.447696116627825)
(92.9095616933834, 3.6417666820198815)
(83.07348509934717, 2.5535502286236076)
(92.66696454199518, 1.5444379289370231)
(80.3880960745053, 2.1829823485562705)
(79.20416197928692, 3.416553361684123)
(93.00438243435673, 2.79693512714188)
(83.26719325520664, 2.5011086246181775)
(76.22310762630991, 2.725679810455231)
(79.58770763250519, 7.993477560151867)
(92.07279635739549, 2.3422995319739277)
(94.95375549725452, 1.479813505058378)
(83.30286830987741, 2.0033089935088744)
(79.88538948309258, 5.835875071969364)
(92.23674544905383, 4.921963023947396)
(86.20153503308424, 1.939455057633814)
(92.25911008502642, 2.9516576880272845)
(69.56610691459909, 3.1545946191819487)
(86.69508449144023, 1.9629699592545518)
(90.42583863268844, 1.1501809355141555)
(91.47174079933586, 1.5786323916202418)
(56.34451941095238, 3.1305634180335837)
(82.72095292600086, 1.623235464076463)
(94.94906863042405, 1.7641864739421012)
(95.20677272385333, 1.566220253086217)
(76.67923912644224, 5.436517929794339)
(90.99175111381221, 1.6348681139729624)
(62.49694890423711, 3.140519010588877)
(82.29908928095111, 7.644507951520128)
(67.29994035326587, 3.3671263364232003)
(92.3540356544059, 2.1168572388596343)
(88.44621530567032, 2.8591037500616205)
(89.89075550375831, 1.332561472428341)
(94.26719074517109, 5.39414462012834)
(93.5126984126984, 3.051724665102482)
(85.93925765165314, 1.7951350231180756)
(84.91434259994097, 1.6157649416658435)
(70.5655155026918, 2.569933184460835)
(91.77685233915277, 2.1839321537092387)
(92.50756966773257, 0.865250359540774)
(77.0465256463741, 2.1229622172398237)
(88.91394438396887, 2.3387404548147077)
(81.43711573549115, 3.158921132881328)
(72.2290837665478, 1.887088476731604)
(63.36395463512444, 1.269220514880653)
(88.19671585109865, 1.1123599035659608)
(98.1198511543197, 0.8783316761761805)
(85.28123266990835, 2.311820237522026)
(86.63526422369408, 0.5446301492098052)
(74.22791580381578, 3.1395841733035046)
(95.3654450905507, 0.7767478375687987)
(65.20106589147287, 1.2146553570914715)
(90.00124974953145, 1.5877951586413173)
(95.36195571417902, 1.1893481334781162)
(76.15781935147784, 5.265001984740639)
(77.40722438864505, 2.6527723595359207)
(81.48043988624775, 1.4919363687403797)
(85.13316406755452, 3.6662998217722693)
